site,link,date,year,rep,elev_m,bench,transect,meter_on_rock,myt_type,myt_present,near_lowerlimit,zone,year_zone,top_spp,bottom_spp,notes,n_layers,layer,species
Asilomar,Asilomar_0,5/19/2014,2014,0,0.904285714,1,0,0.88,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.897857143,1,0,0.89,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.891428571,1,0,0.9,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.885,1,0,0.91,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.878571429,1,0,0.92,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.872142857,1,0,0.93,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.865714286,1,0,0.94,,0,0,zone3,2014_zone3,chthamalus,chthamalus,,1,layer1,chthamalus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.859285714,1,0,0.95,,0,0,zone3,2014_zone3,chthamalus,chthamalus,,1,layer1,chthamalus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.852857143,1,0,0.96,,0,0,zone3,2014_zone3,chthamalus,chthamalus,,1,layer1,chthamalus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.846428571,1,0,0.97,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.84,1,0,0.98,,0,0,zone3,2014_zone3,balanus,balanus,,1,layer1,balanus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.833571429,1,0,0.99,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.827142857,1,0,1,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.820714286,1,0,1.01,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.814285714,1,0,1.02,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.807857143,1,0,1.03,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.801428571,1,0,1.04,,0,0,zone3,2014_zone3,balanus,balanus,,1,layer1,balanus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.795,1,0,1.05,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.788571429,1,0,1.06,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.782142857,1,0,1.07,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.775714286,1,0,1.08,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.769285714,1,0,1.09,,0,0,zone3,2014_zone3,pollicipes,pollicipes,,1,layer1,pollicipes
Asilomar,Asilomar_0,5/19/2014,2014,0,0.762857143,1,0,1.1,,0,0,zone3,2014_zone3,pollicipes,pollicipes,,1,layer1,pollicipes
Asilomar,Asilomar_0,5/19/2014,2014,0,0.756428571,1,0,1.11,,0,0,zone3,2014_zone3,pollicipes,pollicipes,,1,layer1,pollicipes
Asilomar,Asilomar_0,5/19/2014,2014,0,0.75,1,0,1.12,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.743571429,1,0,1.13,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.737142857,1,0,1.14,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.730714286,1,0,1.15,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.724285714,1,0,1.16,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.717857143,1,0,1.17,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.711428571,1,0,1.18,,0,0,zone3,2014_zone3,tetraclita,tetraclita,,1,layer1,tetraclita
Asilomar,Asilomar_0,5/19/2014,2014,0,0.705,1,0,1.19,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.698571429,1,0,1.2,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.692142857,1,0,1.21,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.685714286,1,0,1.22,,0,0,zone3,2014_zone3,tetraclita,tetraclita,,1,layer1,tetraclita
Asilomar,Asilomar_0,5/19/2014,2014,0,0.679285714,1,0,1.23,,0,0,zone3,2014_zone3,tetraclita,tetraclita,,1,layer1,tetraclita
Asilomar,Asilomar_0,5/19/2014,2014,0,0.672857143,1,0,1.24,,0,0,zone3,2014_zone3,phragmatopoma,phragmatopoma,,1,layer1,phragmatopoma
Asilomar,Asilomar_0,5/19/2014,2014,0,0.647142857,1,0,1.28,,0,0,zone3,2014_zone3,phragmatopoma,phragmatopoma,,1,layer1,phragmatopoma
Asilomar,Asilomar_0,5/19/2014,2014,0,0.615,1,0,1.33,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.582857143,1,0,1.38,,0,0,zone3,2014_zone3,phragmatopoma,phragmatopoma,,1,layer1,phragmatopoma
Asilomar,Asilomar_0,5/19/2014,2014,0,0.550714286,1,0,1.43,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.518571429,1,0,1.48,patch,1,0,zone3,2014_zone3,pollicipes,pollicipes,,1,layer1,pollicipes
Asilomar,Asilomar_0,5/19/2014,2014,0,0.486428571,1,0,1.53,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.454285714,1,0,1.58,patch,1,0,zone3,2014_zone3,pollicipes,pollicipes,,1,layer1,pollicipes
Asilomar,Asilomar_0,5/19/2014,2014,0,0.422142857,1,0,1.63,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.39,1,0,1.68,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.357857143,1,0,1.73,,0,0,zone3,2014_zone3,articulated_coraline,articulated_coraline,,1,layer1,articulated_coraline
Asilomar,Asilomar_0,5/19/2014,2014,0,0.325714286,1,0,1.78,,0,0,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,0.293571429,1,0,1.83,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.261428571,1,0,1.88,patch,1,0,zone3,2014_zone3,pyropia,pollicipes,,2,layer1,pyropia
Asilomar,Asilomar_0,5/19/2014,2014,0,0.261428571,1,0,1.88,patch,1,0,zone3,2014_zone3,pyropia,pollicipes,,2,layer2,pollicipes
Asilomar,Asilomar_0,5/19/2014,2014,0,0.229285714,1,0,1.93,patch,1,0,zone3,2014_zone3,pyropia,pollicipes,,2,layer1,pyropia
Asilomar,Asilomar_0,5/19/2014,2014,0,0.229285714,1,0,1.93,patch,1,0,zone3,2014_zone3,pyropia,pollicipes,,2,layer2,pollicipes
Asilomar,Asilomar_0,5/19/2014,2014,0,0.197142857,1,0,1.98,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.165,1,0,2.03,patch,1,0,zone3,2014_zone3,pollicipes,pollicipes,,1,layer1,pollicipes
Asilomar,Asilomar_0,5/19/2014,2014,0,0.132857143,1,0,2.08,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.100714286,1,0,2.13,,0,0,zone3,2014_zone3,articulated_coraline,articulated_coraline,,1,layer1,articulated_coraline
Asilomar,Asilomar_1,5/19/2014,2014,1,1.389052632,1,1,0.37,,0,0,bed,2014_bed,rock,rock,,1,layer1,rock
Asilomar,Asilomar_1,5/19/2014,2014,1,1.353789474,1,1,0.42,,0,0,bed,2014_bed,rock,rock,,1,layer1,rock
Asilomar,Asilomar_1,5/19/2014,2014,1,1.318526316,1,1,0.47,bed,1,0,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,1.283263158,1,1,0.52,bed,1,0,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,1.248,1,1,0.57,bed,1,0,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,1.212736842,1,1,0.62,,0,0,bed,2014_bed,rock,rock,,1,layer1,rock
Asilomar,Asilomar_1,5/19/2014,2014,1,1.177473684,1,1,0.67,bed,1,0,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,1.142210526,1,1,0.72,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,1.106947368,1,1,0.77,,0,1,bed,2014_bed,rock,rock,,1,layer1,rock
Asilomar,Asilomar_1,5/19/2014,2014,1,1.099894737,1,1,0.78,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,1.092842105,1,1,0.79,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,1.085789474,1,1,0.8,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,1.078736842,1,1,0.81,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,1.071684211,1,1,0.82,patch,1,1,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,1.064631579,1,1,0.83,patch,1,1,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,1.057578947,1,1,0.84,patch,1,1,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,1.050526316,1,1,0.85,patch,1,1,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,1.043473684,1,1,0.86,patch,1,1,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,1.036421053,1,1,0.87,,0,1,zone2,2014_zone2,chthamalus,chthamalus,,1,layer1,chthamalus
Asilomar,Asilomar_1,5/19/2014,2014,1,1.029368421,1,1,0.88,,0,1,zone2,2014_zone2,rock,rock,,1,layer1,rock
Asilomar,Asilomar_1,5/19/2014,2014,1,1.022315789,1,1,0.89,,0,1,zone2,2014_zone2,rock,rock,,1,layer1,rock
Asilomar,Asilomar_1,5/19/2014,2014,1,1.015263158,1,1,0.9,bed,1,1,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.98,1,1,0.95,bed,1,1,zone2,2014_zone2,mytilus,pollicipes,,2,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.98,1,1,0.95,bed,1,1,zone2,2014_zone2,mytilus,pollicipes,,2,layer2,pollicipes
Asilomar,Asilomar_1,5/19/2014,2014,1,0.972947368,1,1,0.96,bed,1,1,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.965894737,1,1,0.97,bed,1,1,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.958842105,1,1,0.98,,0,1,zone2,2014_zone2,crustose_coraline,crustose_coraline,,1,layer1,crustose_coraline
Asilomar,Asilomar_1,5/19/2014,2014,1,0.951789474,1,1,0.99,,0,1,zone2,2014_zone2,phragmatopoma,phragmatopoma,,1,layer1,phragmatopoma
Asilomar,Asilomar_1,5/19/2014,2014,1,0.944736842,1,1,1,,0,1,zone2,2014_zone2,chthamalus,chthamalus,,1,layer1,chthamalus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.937684211,1,1,1.01,,0,1,zone2,2014_zone2,rock,rock,,1,layer1,rock
Asilomar,Asilomar_1,5/19/2014,2014,1,0.930631579,1,1,1.02,,0,1,zone2,2014_zone2,rock,rock,,1,layer1,rock
Asilomar,Asilomar_1,5/19/2014,2014,1,0.923578947,1,1,1.03,,0,1,zone2,2014_zone2,chthamalus,chthamalus,,1,layer1,chthamalus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.916526316,1,1,1.04,,0,1,zone2,2014_zone2,rock,rock,,1,layer1,rock
Asilomar,Asilomar_1,5/19/2014,2014,1,0.909473684,1,1,1.05,,0,1,zone2,2014_zone2,rock,rock,,1,layer1,rock
Asilomar,Asilomar_1,5/19/2014,2014,1,0.902421053,1,1,1.06,,0,1,zone2,2014_zone2,rock,rock,,1,layer1,rock
Asilomar,Asilomar_1,5/19/2014,2014,1,0.895368421,1,1,1.07,,0,1,zone3,2014_zone3,balanus,balanus,,1,layer1,balanus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.888315789,1,1,1.08,,0,1,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_1,5/19/2014,2014,1,0.881263158,1,1,1.09,,0,1,zone3,2014_zone3,balanus,balanus,,1,layer1,balanus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.874210526,1,1,1.1,,0,1,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_1,5/19/2014,2014,1,0.867157895,1,1,1.11,,0,1,zone3,2014_zone3,A_sola,A_sola,,1,layer1,A_sola
Asilomar,Asilomar_1,5/19/2014,2014,1,0.860105263,1,1,1.12,,0,1,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_1,5/19/2014,2014,1,0.853052632,1,1,1.13,,0,1,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_1,5/19/2014,2014,1,0.846,1,1,1.14,,0,1,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_1,5/19/2014,2014,1,0.838947368,1,1,1.15,,0,1,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_1,5/19/2014,2014,1,0.831894737,1,1,1.16,,0,1,zone3,2014_zone3,balanus,balanus,,1,layer1,balanus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.824842105,1,1,1.17,,0,1,zone3,2014_zone3,rock,rock,,1,layer1,rock
Asilomar,Asilomar_1,5/19/2014,2014,1,0.817789474,1,1,1.18,,0,1,zone3,2014_zone3,balanus,balanus,,1,layer1,balanus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.810736842,1,1,1.19,,0,1,zone3,2014_zone3,balanus,balanus,,1,layer1,balanus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.803684211,1,1,1.2,patch,1,1,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.796631579,1,1,1.21,patch,1,1,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.789578947,1,1,1.22,patch,1,1,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.782526316,1,1,1.23,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.775473684,1,1,1.24,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.754315789,1,1,1.27,,0,0,zone3,2014_zone3,tetraclita,tetraclita,,1,layer1,tetraclita
Asilomar,Asilomar_1,5/19/2014,2014,1,0.719052632,1,1,1.32,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.683789474,1,1,1.37,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.648526316,1,1,1.42,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.613263158,1,1,1.47,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.578,1,1,1.52,,0,0,zone3,2014_zone3,pollicipes,pollicipes,,1,layer1,pollicipes
Asilomar,Asilomar_1,5/19/2014,2014,1,0.542736842,1,1,1.57,,0,0,zone3,2014_zone3,pollicipes,pollicipes,,1,layer1,pollicipes
Asilomar,Asilomar_1,5/19/2014,2014,1,0.507473684,1,1,1.62,,0,0,zone3,2014_zone3,pollicipes,pollicipes,,1,layer1,pollicipes
Asilomar,Asilomar_1,5/19/2014,2014,1,0.472210526,1,1,1.67,,0,0,zone3,2014_zone3,pollicipes,pollicipes,,1,layer1,pollicipes
Asilomar,Asilomar_1,5/19/2014,2014,1,0.436947368,1,1,1.72,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_1,5/19/2014,2014,1,0.401684211,1,1,1.77,,0,0,zone3,2014_zone3,mastocarpus_sporophyte,mastocarpus_sporophyte,,1,layer1,mastocarpus_sporophyte
Asilomar,Asilomar_2,5/19/2014,2014,2,0.842857143,1,2,1.15,,0,1,bed,2014_bed,rock,rock,,1,layer1,rock
Asilomar,Asilomar_2,5/19/2014,2014,2,0.835142857,1,2,1.16,,0,1,bed,2014_bed,rock,rock,,1,layer1,rock
Asilomar,Asilomar_2,5/19/2014,2014,2,0.827428571,1,2,1.17,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.819714286,1,2,1.18,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.812,1,2,1.19,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.804285714,1,2,1.2,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.796571429,1,2,1.21,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.788857143,1,2,1.22,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.781142857,1,2,1.23,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.773428571,1,2,1.24,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.765714286,1,2,1.25,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.758,1,2,1.26,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.750285714,1,2,1.27,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.742571429,1,2,1.28,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.734857143,1,2,1.29,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.727142857,1,2,1.3,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.719428571,1,2,1.31,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.711714286,1,2,1.32,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.704,1,2,1.33,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.696285714,1,2,1.34,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.688571429,1,2,1.35,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.680857143,1,2,1.36,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.673142857,1,2,1.37,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.665428571,1,2,1.38,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.657714286,1,2,1.39,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.65,1,2,1.4,bed,1,1,bed,2014_bed,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.642285714,1,2,1.41,,0,1,zone2,2014_zone2,chthamalus,chthamalus,,1,layer1,chthamalus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.634571429,1,2,1.42,,0,1,zone2,2014_zone2,chthamalus,chthamalus,,1,layer1,chthamalus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.626857143,1,2,1.43,,0,1,zone2,2014_zone2,chthamalus,chthamalus,,1,layer1,chthamalus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.619142857,1,2,1.44,,0,1,zone2,2014_zone2,chthamalus,chthamalus,,1,layer1,chthamalus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.611428571,1,2,1.45,,0,1,zone2,2014_zone2,chthamalus,chthamalus,,1,layer1,chthamalus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.603714286,1,2,1.46,,0,1,zone2,2014_zone2,chthamalus,chthamalus,,1,layer1,chthamalus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.596,1,2,1.47,,0,1,zone2,2014_zone2,semibalanus,semibalanus,,1,layer1,semibalanus
Asilomar,Asilomar_2,5/19/2014,2014,2,0.588285714,1,2,1.48,,0,1,zone2,2014_zone2,rock,rock,,1,layer1,rock
Asilomar,Asilomar_2,5/19/2014,2014,2,0.580571429,1,2,1.49,,0,1,zone2,2014_zone2,tetraclita,tetraclita,,1,layer1,tetraclita
Asilomar,Asilomar_2,5/19/2014,2014,2,0.572857143,1,2,1.5,,0,1,zone2,2014_zone2,tetraclita,tetraclita,,1,layer1,tetraclita
